Komentar,Kategori,Preprocessed Text,Sentiment
 ibu kamu pelakor plus hamil di luar nikah ya  pantesan anaknya kyk gini modelannya ,Bullying,pelakor plus hamil nikah ya pantesan anaknya kyk gini modelannya,bulliying
 anaknya udh pinter  maknya yang kelempengan   berasa masih baby  tingginya azka aj melebihi mamanya   ,Bullying,anaknya udh pinter maknya kelempengan berasa baby tingginya azka aj melebihi mamanya,bulliying
 anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya  sesimple itu ,Non-bullying,anak yg cerdas terbentuk dr pola asuh pola didik ortu yg cerdas sih saranya sesimple,non-bulliying
 setengah iri setengah jadi motivasi ini ,Non-bullying,iri motivasi,non-bulliying
 ancur hidup lu kalau sama dia  sumpah   ,Bullying,ancur hidup lu sumpah,bulliying
 serem banget muka lo mel kayak ayam potong merah banget ,Bullying,serem banget muka lo mel kayak ayam potong merah banget,bulliying
 yaudah jd pengusaha kuliner aja gausah artis  makanannya emang bikin ngiler sih wkwkw ,Non-bullying,yaudah jd pengusaha kuliner aja gausah artis makanannya emang bikin ngiler sih wkwkw,non-bulliying
 kamu emang cocoknya jadi pengusaha kuliner udah fixs  semoha lancat terusssss ,Non-bullying,emang cocoknya pengusaha kuliner udah fixs semoha lancat terusssss,non-bulliying
 tak sejelek image owner ya    artis ups bukan artis  hallo secara tidak langsung semua orang itu tau image lu jelek gentong  ,Bullying,sejelek image owner ya artis ups artis hallo langsung orang tau image lu jelek gentong,bulliying
 apaan sih gak jelas hidupnya ,Bullying,sih gak hidupnya,bulliying
 sebelum aku unfoll  aku mau bilang najissss ,Bullying,unfoll bilang najissss,bulliying
 muka lu sensual tapi norak kenapa dah ,Bullying,muka lu sensual norak dah,bulliying
 udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri ,Non-bullying,udah gk jaman ngebully orang hey netizen mending ngaca kekurangan,non-bulliying
 kalau pas penempatannya  sebenernya kamu imut banget loh mel  ,Non-bullying,pas penempatannya sebenernya imut banget loh mel,non-bulliying
 cakep kaga jelek iya hahah ,Bullying,cakep kaga jelek iya hahah,bulliying
 jari jari kaki kayak jarinya tukang panggul ,Bullying,jari jari kaki kayak jarinya tukang panggul,bulliying
 kakinya kek lagi hamil tua ya bun  semacam kaki gajah  ayuugsia ,Bullying,kakinya kek hamil tua ya bun kaki gajah ayuugsia,bulliying
 suka heran sama yg ngehina fisik   ternyata bener ya kita semua pendosa dengan cara kita sendiri   ,Non-bullying,suka heran yg ngehina fisik bener ya pendosa,non-bulliying
 ini diedit biar langsing padahal mah klo live bomber badannya ,Bullying,diedit biar langsing mah klo live bomber badannya,non-bulliying
 kakinya gedong sayyy kek kaki jantan  upp kan dia suka berbaur ama warwerwor   mahluk astral   yg kakinya gedong ,Bullying,kakinya gedong sayyy kek kaki jantan upp suka berbaur ama warwerwor mahluk astral yg kakinya gedong,bulliying
 bagusan foto pakai masker drpd gak pakai masker ,Non-bullying,bagusan foto pakai masker drpd gak pakai masker,non-bulliying
  rosameldianti  kakak foto sebelum ini  kenapa memeknya keliatan tebal     memeknya kakak lagi bengkak yah    ,Bullying,rosameldianti kakak foto memeknya keliatan tebal memeknya kakak bengkak yah,bulliying
 bra nya kedodoran kak make ukuran gede yaa ,Bullying,bra nya kedodoran kak make ukuran gede yaa,non-bulliying
 nah ini cantik seneng  usahanya membuahkan hasil  semangat ya mel semoga menjadi pribadi yang lebih baik lagi ,Non-bullying,cantik seneng usahanya membuahkan hasil semangat ya mel semoga pribadi,non-bulliying
 mba bisa gk sih  kalau gk merem melek gitu matanya kaya orang cacingan ,Bullying,mba gk sih gk merem melek gitu matanya kaya orang cacingan,bulliying
 semoga lancar terus usahanya mel ,Non-bullying,semoga lancar usahanya mel,non-bulliying
 cantik banget kalo meldi muka natural kek gini ,Non-bullying,cantik banget kalo meldi muka natural kek gini,non-bulliying
 lu diem aja cantik mel kalo ga banyak gaya serius ,Non-bullying,lu diem aja cantik mel kalo ga gaya serius,non-bulliying
 kaku kek kanebo kering hahaha ,Bullying,kaku kek kanebo kering hahaha,bulliying
 semakin glowing say  natural kayak gini bagus tambahin prestasi nya ya say ,Non-bullying,glowing say natural kayak gini bagus tambahin prestasi nya ya say,non-bulliying
 meldi  emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya  auranya gak keliatan yg ada malah butek ,Bullying,meldi emaknya buka klinik totok aura kayaknya anaknya gak ditotok ya auranya gak keliatan yg butek,bulliying
 karena muka lo pasaran mel  di pasar sapi juga ada yang mirip noh ,Bullying,muka lo pasaran mel pasar sapi noh,bulliying
 maap kalau gua sering nyamain lu sama dugong soalnya emang mirip ,Bullying,maap gua nyamain lu dugong emang,bulliying
 iya lo kamu mirip monyet mel ,Bullying,iya lo monyet mel,bulliying
 bagusan pantat panci aing atuh anjir ,Bullying,bagusan pantat panci aing atuh anjir,bulliying
 ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak  muka beton  ga ada malu    ,Bullying,ya emang ga muka muka badak muka beton ga malu,bulliying
 kok mbak meldi sekarang tambah cantik ya rahasianya apa   ,Non-bullying,mbak meldi cantik ya rahasianya,non-bulliying
 lengannya gempal banget sih haha ,Bullying,lengannya gempal banget sih haha,bulliying
 fix yang komen semua nyela ,Non-bullying,fix komen nyela,non-bulliying
 udah ka gausah digubris gausah dipikirin  bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka  gausah juga ngatain orang ka  tetep bersyukur atas nikmatnya ,Non-bullying,udah ka gausah digubris gausah dipikirin bersyukur aja nikmat tuhan udah dikasih kaka gausah ngatain orang ka tetep bersyukur nikmatnya,non-bulliying
 jari jari nya gede gede banget  apalagi pas ngiklan makan ikan danau hambar  jarinya kayak jempol semua hawak bener ,Bullying,jari jari nya gede gede banget pas ngiklan makan ikan danau hambar jarinya kayak jempol hawak bener,bulliying
 jangan disamain muka  rosameldianti  sama orang oi  mintanya disamain sama babi ,Bullying,disamain muka rosameldianti orang oi mintanya disamain babi,bulliying
 ga ada yang dibawah meldi  semuanya setara  ada kekurangan ada kelebihan ,Non-bullying,ga dibawah meldi setara kekurangan kelebihan,non-bulliying
 ka mel gausah merendahkan orang lain  bersyukur aja diatas langit juga masih ada langit lagi ,Non-bullying,ka mel gausah merendahkan orang bersyukur aja diatas langit langit,non-bulliying
 mukanya kalau gak dibantu kamera dekil dan kumel ,Bullying,mukanya gak dibantu kamera dekil kumel,bulliying
 semua wanita cantik  jangan suka merasa lebih ah ,Non-bullying,wanita cantik suka ah,non-bulliying
 meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si  ,Bullying,meldi udah kontrak endorse skincare ya mukanya jelek si,bulliying
 gila netizen pada sempurna ngehina orang terus ,Non-bullying,gila netizen sempurna ngehina orang,non-bulliying
 semua dah pada ngembang  habis di berapa cowo meldi     enak ya di otak atik ,Bullying,dah ngembang habis cowo meldi enak ya otak atik,bulliying
 karena muka kayak elo pasaran dan murah  ,Bullying,muka kayak elo pasaran murah,bulliying
 muka buluk kepedean lagi   muka udah tua ,Bullying,muka buluk kepedean muka udah tua,bulliying
 muka lu kaya tai wkwkwk ,Bullying,muka lu kaya tai wkwkwk,bulliying
 sakit jiwa ini upil gajah  kasihan ,Bullying,sakit jiwa upil gajah kasihan,bulliying
 jelek macam buntut kuali hahaha ,Bullying,jelek buntut kuali hahaha,bulliying
 meldi tambah kurusan sekarang ya    cantik walaupun tanpa make up  ,Non-bullying,meldi kurusan ya cantik make up,non-bulliying
 elu juga semoga semakinlebih baik dalam segala hal  terutama akhlak dan etikanya ,Non-bullying,elu semoga semakinlebih akhlak etikanya,non-bulliying
 mbak mell sehat dan sukses ya ,Non-bullying,mbak mell sehat sukses ya,non-bulliying
 aamiin  doa baik juga untuk meldi ,Non-bullying,aamiin doa meldi,non-bulliying
 selamat tahun baru mbak  semoga jadi pribadi yang lebih baik amin ,Non-bullying,selamat mbak semoga pribadi amin,non-bulliying
 meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip ,Non-bullying,meldi cantik loh tinggal dibenerin akhlak adabnya sip,non-bulliying
 pengambilan fotonya sudah bagus mantap dan keren   tinggal pengambilan arwah nya aja yang belum ,Bullying,pengambilan fotonya bagus mantap keren tinggal pengambilan arwah nya aja,non-bulliying
 nggak ada cantik cantik nya hahaha ,Bullying,nggak cantik cantik nya hahaha,non-bulliying
 kasian editornya sih ini  nanggung dosa banget kayaknya ngeditnya offside gini ,Bullying,kasian editornya sih nanggung dosa banget kayaknya ngeditnya offside gini,bulliying
 lama lama mirip dewi persik ya ,Non-bullying,dewi persik ya,non-bulliying
 pada julid padahal kan meldi gak nyusahin kalian ,Non-bullying,julid meldi gak nyusahin,bulliying
 ini foto apa w masukin museum aja ya ga ada pantas nya ,Bullying,foto w masukin museum aja ya ga nya,bulliying
 nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana ,Bullying,nggak ngumpul bareng mami isa gembrot disana,bulliying
 lagu lu ga ada yang laku ya mel   ,Bullying,lagu lu ga laku ya mel,non-bulliying
 lututnya masih hitam gosok maning biar tambah cling dan cantik ,Bullying,lututnya hitam gosok maning biar cling cantik,bulliying
 suka heran sama warga     sukanya ngehujat orang mulu  dapat pahala kagak dosa mah iya ,Non-bullying,suka heran warga sukanya ngehujat orang mulu pahala kagak dosa mah iya,non-bulliying
 tambah cantik aja rosa meldianti ,Non-bullying,cantik aja rosa meldianti,non-bulliying
 jadi diri sendiri  jangan jadi ular apalagi dugong ,Bullying,ular dugong,bulliying
 saya kok suka ya sama mereka harmonis ,Non-bullying,suka ya harmonis,non-bulliying
 cantik banget kalau pakai baju kayak gitu ,Non-bullying,cantik banget pakai baju kayak gitu,non-bulliying
 jujur ya kamu kalo anteng ga buat masalah cantik mel ,Non-bullying,jujur ya kalo anteng ga cantik mel,non-bulliying
 cowoknya ga ada cakep cakepnya ,Bullying,cowoknya ga cakep cakepnya,non-bulliying
 di foto tirus   kalo di video wariorr kok mukanya kek donat gak ada bentuknya ,Bullying,foto tirus kalo video wariorr mukanya kek donat gak bentuknya,bulliying
 dari sekian banyak foto yang diposting  ini yang paling cantik ,Non-bullying,sekian foto diposting cantik,non-bulliying
 artis abal abal   muka putih tangan hitam  ager  atm nya udah isi berapa sekarang ,Bullying,artis abal abal muka putih tangan hitam ager atm nya udah isi,bulliying
 itu muka kayak penuh tekanan banget ,Bullying,muka kayak penuh tekanan banget,bulliying
  rosameldianti  cowokmu wajah nya culun dan cupu kayak om  ,Bullying,rosameldianti cowokmu wajah nya culun cupu kayak om,bulliying
 masyaallah cantik terlihat sopan dan anggun ,Non-bullying,masyaallah cantik sopan anggun,non-bulliying
 kang ojek kali belang tangannya ,Bullying,kang ojek kali belang tangannya,bulliying
 seneng liat pasangan ini cewenya di hujat   indonesia tapi dia tetep setia nemenin ,Non-bullying,seneng liat pasangan cewenya hujat indonesia tetep setia nemenin,non-bulliying
 dia memutuskan menjadi tumbal apartment ,Bullying,memutuskan tumbal apartment,bulliying
 makin cantik mel  semangat dietnyaa ,Non-bullying,cantik mel semangat dietnyaa,non-bulliying
 itu tangan apa paha haha   ,Bullying,tangan paha haha,bulliying
 mel disini kamu keliatan cakep ,Non-bullying,mel keliatan cakep,non-bulliying
 mukanya kayak lagi ngeden pas boker ,Bullying,mukanya kayak ngeden pas boker,bulliying
 aduuh   terlalu halu   hhahaha lebay editan nyaa lemak kemana lemak  hahhaaa   mimpi ketinggian   ,Bullying,aduuh halu hhahaha lebay editan nyaa lemak kemana lemak hahhaaa mimpi ketinggian,bulliying
 salfok sama kaki  tapi cantik banget asli ,Non-bullying,salfok kaki cantik banget asli,non-bulliying
   dy     buset cantik diedit aja mba  coba dah aslinya dah kayak buntelan kentut  ,Bullying,dy buset cantik diedit aja mba coba dah aslinya dah kayak buntelan kentut,bulliying
 atas bawah hitam putih  kek kopi luwak ,Bullying,hitam putih kek kopi luwak,bulliying
 palsu badane diedit semua tu  aslinya dimana  lemak ,Bullying,palsu badane diedit tu aslinya dimana lemak,bulliying
 udah dapat kontrak dari skincare ttp aja buluk mel ,Bullying,udah kontrak skincare ttp aja buluk mel,bulliying
 heran sama netizen klo gk suka jangan diliat aja ,Non-bullying,heran netizen klo gk suka diliat aja,non-bulliying
 sukses selalu yah ka  rosameldianti  semangat ,Non-bullying,sukses yah ka rosameldianti semangat,non-bulliying
 jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang ,Non-bullying,jujur suka meldi suka ngehujat orang,non-bulliying
 sumpah aslinya muka lo lebar kayak baskom loh mel  rosameldianti  ,Bullying,sumpah aslinya muka lo lebar kayak baskom loh mel rosameldianti,bulliying
 berkarya teros meldi walo ga ada yg nuntun kamu  ,Non-bullying,berkarya teros meldi walo ga yg nuntun,non-bulliying
 astaghfirullah  seram sekali ya bun seperti ular jelmaan makhluk halus ya bun ,Bullying,astaghfirullah seram ya bun ular jelmaan makhluk halus ya bun,bulliying
 dan yang paling saya heran cowokpun ikut ngebully  sabar meldi  ,Non-bullying,heran cowokpun ngebully sabar meldi,non-bulliying
 astaga  ratu edit muka   sumpah seren kayak film setan  gitu    ,Bullying,astaga ratu edit muka sumpah seren kayak film setan gitu,bulliying
 matanya kayak katarak anjir ahahah ,Bullying,matanya kayak katarak anjir ahahah,bulliying
 caption aja copas  cantumin credit dong  dasar iblis ,Bullying,caption aja copas cantumin credit dasar iblis,bulliying
 unfoll aja daripada kalian dosa ngebully  terus   ,Non-bullying,unfoll aja dosa ngebully,non-bulliying
 meldi aku perhatikan kamu seperti orang china deh   cantik ,Non-bullying,meldi perhatikan orang china deh cantik,non-bulliying
 editan softlensnya keluar itu mbaknya  kayak ratu titisan ular kamu wkwkwk ,Bullying,editan softlensnya mbaknya kayak ratu titisan ular wkwkwk,bulliying
 kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya   ,Bullying,kasihan ular dibawa bawa gak ular pantasnya bunglon buaya,bulliying
 maju trus ya sayang   abaikan orang  yg comment menyakitkan ,Non-bullying,maju trus ya sayang abaikan orang yg comment menyakitkan,non-bulliying
 kasihan ya kamu  rosameldianti  hidup sekali cuman buat bahan hujatan masyarakat  mubadzir banget deh hidup lo  napa gak bunuh diri aja  ,Bullying,kasihan ya rosameldianti hidup cuman bahan hujatan masyarakat mubadzir banget deh hidup lo napa gak bunuh aja,bulliying
 semangat mel  bahasa asing mah yang penting kita berani pasti entarnya bisa ,Non-bullying,semangat mel bahasa asing mah berani entarnya,non-bulliying
 beda sama d foto yaa   disini lebar banget mukanya maaf itu kalau foto editan ya ,Bullying,beda d foto yaa lebar banget mukanya maaf foto editan ya,bulliying
 meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu  tapi aku bangga akan berusaha mu  yuhuuu ,Non-bullying,meldi kadang mulut ku rem kehaluanmu bangga berusaha mu yuhuuu,bulliying
 lupa di edit ya tu muka melar ,Bullying,lupa edit ya tu muka melar,bulliying
 semangatt  kesalahan dalam belajar bahasa asing itu penting  karena itu pembelajaran utamanya  supaya kesalahannya ga terulang ,Non-bullying,semangatt kesalahan belajar bahasa asing pembelajaran utamanya kesalahannya ga terulang,non-bulliying
 kereennnn   dari bully an netizen menjadikanmu mau belajar ,Non-bullying,kereennnn bully an netizen menjadikanmu belajar,non-bulliying
 hiiihhh jiik lihat nih orang  auranya buruk bgt gak ada manis manisnya ,Bullying,hiiihhh jiik lihat nih orang auranya buruk bgt gak manis manisnya,bulliying
 semangat untuk belajar ya  saya uga gak bisa bahasa inggris ,Non-bullying,semangat belajar ya uga gak bahasa inggris,non-bulliying
 yang penting ada niat   dan keberanian ,Non-bullying,niat keberanian,non-bulliying
 salut mel   semangat belajar  yg ngetawain juga belum tentu bisa dan berani   ,Non-bullying,salut mel semangat belajar yg ngetawain berani,non-bulliying
 gpp mel semangat buat belajar trusssss jangan gampang nyerah pokoknya  rosameldianti  ,Non-bullying,gpp mel semangat belajar trusssss gampang nyerah pokoknya rosameldianti,non-bulliying
 setidaknya dia ngaku  bukan belagak pintar ,Non-bullying,ngaku belagak pintar,non-bulliying
 masih jauh kalo ngarep bisa ikutan kontes miss earth   makanya dari kecil les inggris biar lidahnya gak keseleo ,Bullying,kalo ngarep ikutan kontes miss earth les inggris biar lidahnya gak keseleo,bulliying
 cuma di postingan ini ya bund netizen sedikit yang menghujat ,Non-bullying,postingan ya bund netizen menghujat,non-bulliying
 happy birthday mel sehat dan sukses yah  aamiin ,Non-bullying,happy birthday mel sehat sukses yah aamiin,non-bulliying
 happy birthday kak meldi yang imut n ngegemesin  tambah sukses selalu ,Non-bullying,happy birthday kak meldi imut n ngegemesin sukses,non-bulliying
 ya ampun ketiak dan lemaknya editan parah wkwk ,Bullying,ya ampun ketiak lemaknya editan parah wkwk,bulliying
 ketiaknya habis di amplas mel  alus banget ,Bullying,ketiaknya habis amplas mel alus banget,bulliying
 udah diedit gitu  ketiak lu tetap hitam ,Bullying,udah diedit gitu ketiak lu hitam,bulliying
 selamat ulang tahun mel  udah yah jangan banyak tingkah ,Non-bullying,selamat ulang mel udah yah tingkah,non-bulliying
 mukanya kuning banget kaya kunyit ,Bullying,mukanya kuning banget kaya kunyit,bulliying
 selamat ulang tahun meldi sukses dan sehat terus ya   ,Non-bullying,selamat ulang meldi sukses sehat ya,non-bulliying
 fotonya lainnya jangan yang ini  kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh  aku mah kasihan ,Non-bullying,fotonya cantik ihhh biar gak kena hujat ihh mah kasihan,bulliying
 hbd meldi  semoga sukses selalu dan panjang umur dan rejekinya di lancarkan   amin ,Non-bullying,hbd meldi semoga sukses umur rejekinya lancarkan amin,non-bulliying
 perasaan kemarin lengannya kekar banget kek petinju  udah gitu ketiaknya juga hitam  kok difoto ini lengannya jadi kecil  ketiaknya putih kek dibedakin ,Bullying,perasaan kemarin lengannya kekar banget kek petinju udah gitu ketiaknya hitam difoto lengannya ketiaknya putih kek dibedakin,bulliying
 selamat ulang tahun kak  rosameldianti   banyaknya sadar dan jangan pansos lagi yah  amin ,Non-bullying,selamat ulang kak rosameldianti banyaknya sadar pansos yah amin,non-bulliying
 hbd cantik semoga kedepannya tambah sukses ,Non-bullying,hbd cantik semoga kedepannya sukses,non-bulliying
 hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu ,Non-bullying,hbd mbak mel cantik panjangkan umurnya sehat,non-bulliying
 berdiri di kaki sendiri lebih baik ,Non-bullying,berdiri kaki,non-bulliying
 biar di edit  kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin ,Bullying,biar edit kaya aja ketiak hitam nya ga bohongin,bulliying
 sumpah demi apapun   lengan nya gede banget ,Bullying,sumpah apapun lengan nya gede banget,non-bulliying
 selamat ulang tahun panjang umur sampai ketemu dajjal ,Bullying,selamat ulang umur ketemu dajjal,non-bulliying
 ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu  dasar dugong  rosameldianti  ,Bullying,ketiak hitam buluk lu edit nutupin daki diketek lu aka hitam ketiak lu dasar dugong rosameldianti,bulliying
 di atm tinggal     ribu aja banyak gaya lu dugong ,Bullying,atm tinggal ribu aja gaya lu dugong,bulliying
 gak ada bagus nya suara dan polanya   ,Bullying,gak bagus nya suara polanya,bulliying
 si meldi jelek aja banyak gaya  beda banget sm tante n sepupunya yang udah jelas  cantik ,Bullying,si meldi jelek aja gaya beda banget sm tante n sepupunya udah cantik,bulliying
 tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat ,Non-bullying,dah berubah gak kayak gue lihat,bulliying
 ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan   putihnya kek cat tembok ,Bullying,ngedit ketiaknya dah ya ampe ngeblur pisan putihnya kek cat tembok,bulliying
 aduh dugong masih aja gila filter   ,Bullying,aduh dugong aja gila filter,bulliying
 sekarang bukan muka aja yang didempul  tapi ketiak juga ,Bullying,muka aja didempul ketiak,bulliying
 kasian kebelet artis tapi gak punya bakat ,Bullying,kasian kebelet artis gak bakat,bulliying
 yang merasa peliharaannya lepas  tolong diangkut ,Bullying,peliharaannya lepas tolong diangkut,bulliying
 miris banget  ultah bukan didoain yang baik  tapi tetap di bully kasian    god bless u mel ,Non-bullying,miris banget ultah didoain bully kasian god bless u mel,bulliying
 mudah mudahan lu jadi gembel  amin ya allah ,Bullying,mudah mudahan lu gembel amin ya allah,non-bulliying
 ketiaknya hitam dikasih bedak jadi nya abu  monyet ,Bullying,ketiaknya hitam dikasih bedak nya abu monyet,bulliying
 heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik  gasuka ya gausah diliat  kaya dirinya sempurna aja ,Non-bullying,heran gua mah gasuka gausah follow dah tau ni akun private kalo lu follow ngebuli tanda nya lu sirik gasuka ya gausah diliat kaya sempurna aja,non-bulliying
 gua berharap lu aja si yg sakit bukan laura lol ,Bullying,gua berharap lu aja si yg sakit laura lol,bulliying
 harusnya lo aja yang menderitaaa bukan lora anj          ,Bullying,lo aja menderitaaa lora anj,bulliying
 gaga sempet beneran lora lo tinggalin  lo orang paling jahat ga     lo gak bakal bahagia ga ,Bullying,gaga sempet beneran lora lo tinggalin lo orang jahat ga lo gak bahagia ga,bulliying
 lu bener  ga kalo sempet nyakitin lora gue santet      ,Bullying,lu bener ga kalo sempet nyakitin lora gue santet,bulliying
 si gaga kok kek anjing ,Bullying,si gaga kek anjing,bulliying
 semangat gaga  jangan liat kebelakang fokus aja kedepan  masih muda masih banyak yg lebih baik juga  ,Non-bullying,semangat gaga liat kebelakang fokus aja kedepan muda yg,non-bulliying
 gak ada cantiknya  gila yang ada ,Bullying,gak cantiknya gila,bulliying
 meldi makin bersinar yaaa  pertahanin karir jgn di sia siain ,Non-bullying,meldi bersinar yaaa pertahanin karir jgn sia siain,bulliying
 tetap semangat   sebaik apapun kamu akan dalah dimata pembenci    ,Non-bullying,semangat apapun dalah dimata pembenci,non-bulliying
 asli gak ada bebet bobo ni anak  kasihan sekali  ,Bullying,asli gak bebet bobo ni anak kasihan,bulliying
 kumat  lama semedinya segini keluarnya ,Bullying,kumat semedinya segini keluarnya,bulliying
 tangannya hitam  beda ama muka ,Bullying,tangannya hitam beda ama muka,bulliying
 kok meldi di foto aku gendut beda ,Bullying,meldi foto gendut beda,bulliying
 gatau sih  cantik tapi gak ada aura nya sama sekali   cantik tapi idih gitu lihatnya   kenapa yaa    ,Bullying,gatau sih cantik gak aura nya cantik idih gitu lihatnya yaa,non-bulliying
 baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu   ,Non-bullying,buruk nya buruk mata ga menyukai mu,non-bulliying
 gila ni siluman   di story orang lain keliatan banget tumpukan  lemaknya  buriknya apalagi ,Bullying,gila ni siluman story orang keliatan banget tumpukan lemaknya buriknya,non-bulliying
 dasar bego lu   gua jijik sama lu bro kayak gak punya otak banget ,Bullying,dasar bego lu gua jijik lu bro kayak gak otak banget,bulliying
 lo kira lo bagus tuh begitu anjing wkwkw ,Bullying,lo lo bagus tuh anjing wkwkw,bulliying
 di maafin aaa  semoga dia jera untuk kedepannya  ,Non-bullying,maafin aaa semoga jera kedepannya,non-bulliying
 eh bocah mending lo mati aja gak guna juga ada orang kayak lo hahahahaha ,Bullying,eh bocah mending lo mati aja gak orang kayak lo hahahahaha,bulliying
 btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya ,Non-bullying,btw video boong nya pas gak percaya lihat tribun news hujat ya,non-bulliying
 okay bro kalem aja  tetap semangat dan jangan putus asa ,Non-bullying,okay bro kalem aja semangat putus asa,non-bulliying
 lu mati ajalah   udah biar gak bikin ribet ,Bullying,lu mati ajalah udah biar gak bikin ribet,bulliying
 sampah masyarakat harus di musnahkan segera ,Bullying,sampah masyarakat musnahkan,bulliying
 mati kau najis kontol bangsat mati kau ,Bullying,mati kau najis kontol bangsat mati kau,bulliying
 youtuber toxic  tutup akunmu sekalian tutup usia ,Bullying,youtuber toxic tutup akunmu tutup usia,bulliying
 pada ribet kayak udah pada benar aja lu semua ,Non-bullying,ribet kayak udah aja lu,bulliying
 jangan ada hitam diatas putih  langsung proses ,Non-bullying,hitam diatas putih langsung proses,bulliying
 kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian ,Non-bullying,sayang anaknya ya serahkan aja polisi biar didik,bulliying
 manusia apa hewan sih kok gak punya hati banget ,Bullying,manusia hewan sih gak hati banget,bulliying
 manusia anjing  nyari uang gitu amat  lo kerja aja sama gue nyebokin gue ntar gue gaji lo  ,Bullying,manusia anjing nyari uang gitu lo kerja aja gue nyebokin gue ntar gue gaji lo,bulliying
 maklum anak kurang pendidikan kayak gitu gak punya akhlak ,Bullying,maklum anak pendidikan kayak gitu gak akhlak,bulliying
 anjing memang anak gak tau diri  ibunya sampai nangis  ,Bullying,anjing anak gak tau ibunya nangis,bulliying
 oi babi gue bunuh lu kalau sampai kelihatan sumpah ,Bullying,oi babi gue bunuh lu sumpah,bulliying
 heee sampah lu udah gua maafin tapi boong goblok ,Bullying,heee sampah lu udah gua maafin boong goblok,bulliying
 anjing sini lo baku hantam ayo ,Bullying,anjing lo baku hantam ayo,bulliying
