Komentar,Kategori
 mba bisa gk sih  kalau gk merem melek gitu matanya kaya orang cacingan ,Bullying
 semoga lancar terus usahanya mel ,Non-bullying
 cantik banget kalo meldi muka natural kek gini ,Non-bullying
 lu diem aja cantik mel kalo ga banyak gaya serius ,Non-bullying
 kaku kek kanebo kering hahaha ,Bullying
 semakin glowing say  natural kayak gini bagus tambahin prestasi nya ya say ,Non-bullying
 meldi  emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya  auranya gak keliatan yg ada malah butek ,Bullying
 karena muka lo pasaran mel  di pasar sapi juga ada yang mirip noh ,Bullying
 maap kalau gua sering nyamain lu sama dugong soalnya emang mirip ,Bullying
 iya lo kamu mirip monyet mel ,Bullying
 bagusan pantat panci aing atuh anjir ,Bullying
 ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak  muka beton  ga ada malu    ,Bullying
 kok mbak meldi sekarang tambah cantik ya rahasianya apa   ,Non-bullying
 lengannya gempal banget sih haha ,Bullying
 fix yang komen semua nyela ,Non-bullying
 udah ka gausah digubris gausah dipikirin  bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka  gausah juga ngatain orang ka  tetep bersyukur atas nikmatnya ,Non-bullying
 jari jari nya gede gede banget  apalagi pas ngiklan makan ikan danau hambar  jarinya kayak jempol semua hawak bener ,Bullying
 jangan disamain muka  rosameldianti  sama orang oi  mintanya disamain sama babi ,Bullying
 ga ada yang dibawah meldi  semuanya setara  ada kekurangan ada kelebihan ,Non-bullying
 ka mel gausah merendahkan orang lain  bersyukur aja diatas langit juga masih ada langit lagi ,Non-bullying
 mukanya kalau gak dibantu kamera dekil dan kumel ,Bullying
 semua wanita cantik  jangan suka merasa lebih ah ,Non-bullying
 meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si  ,Bullying
 gila netizen pada sempurna ngehina orang terus ,Non-bullying
 semua dah pada ngembang  habis di berapa cowo meldi     enak ya di otak atik ,Bullying
 karena muka kayak elo pasaran dan murah  ,Bullying
 muka buluk kepedean lagi   muka udah tua ,Bullying
 muka lu kaya tai wkwkwk ,Bullying
 sakit jiwa ini upil gajah  kasihan ,Bullying
 jelek macam buntut kuali hahaha ,Bullying
 meldi tambah kurusan sekarang ya    cantik walaupun tanpa make up  ,Non-bullying
 elu juga semoga semakinlebih baik dalam segala hal  terutama akhlak dan etikanya ,Non-bullying
 mbak mell sehat dan sukses ya ,Non-bullying
 aamiin  doa baik juga untuk meldi ,Non-bullying
 selamat tahun baru mbak  semoga jadi pribadi yang lebih baik amin ,Non-bullying
 meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip ,Non-bullying
 pengambilan fotonya sudah bagus mantap dan keren   tinggal pengambilan arwah nya aja yang belum ,Bullying
 nggak ada cantik cantik nya hahaha ,Bullying
 kasian editornya sih ini  nanggung dosa banget kayaknya ngeditnya offside gini ,Bullying
 lama lama mirip dewi persik ya ,Non-bullying
 pada julid padahal kan meldi gak nyusahin kalian ,Non-bullying
 ini foto apa w masukin museum aja ya ga ada pantas nya ,Bullying
 nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana ,Bullying
 lagu lu ga ada yang laku ya mel   ,Bullying
 lututnya masih hitam gosok maning biar tambah cling dan cantik ,Bullying
 suka heran sama warga     sukanya ngehujat orang mulu  dapat pahala kagak dosa mah iya ,Non-bullying
 tambah cantik aja rosa meldianti ,Non-bullying
 jadi diri sendiri  jangan jadi ular apalagi dugong ,Bullying
 saya kok suka ya sama mereka harmonis ,Non-bullying
 cantik banget kalau pakai baju kayak gitu ,Non-bullying
 jujur ya kamu kalo anteng ga buat masalah cantik mel ,Non-bullying
 cowoknya ga ada cakep cakepnya ,Bullying
 di foto tirus   kalo di video wariorr kok mukanya kek donat gak ada bentuknya ,Bullying
 dari sekian banyak foto yang diposting  ini yang paling cantik ,Non-bullying
 artis abal abal   muka putih tangan hitam  ager  atm nya udah isi berapa sekarang ,Bullying
 itu muka kayak penuh tekanan banget ,Bullying
  rosameldianti  cowokmu wajah nya culun dan cupu kayak om  ,Bullying
 masyaallah cantik terlihat sopan dan anggun ,Non-bullying
 kang ojek kali belang tangannya ,Bullying
 seneng liat pasangan ini cewenya di hujat   indonesia tapi dia tetep setia nemenin ,Non-bullying
 dia memutuskan menjadi tumbal apartment ,Bullying
 makin cantik mel  semangat dietnyaa ,Non-bullying
 itu tangan apa paha haha   ,Bullying
 mel disini kamu keliatan cakep ,Non-bullying
 mukanya kayak lagi ngeden pas boker ,Bullying
 aduuh   terlalu halu   hhahaha lebay editan nyaa lemak kemana lemak  hahhaaa   mimpi ketinggian   ,Bullying
 salfok sama kaki  tapi cantik banget asli ,Non-bullying
   dy     buset cantik diedit aja mba  coba dah aslinya dah kayak buntelan kentut  ,Bullying
 atas bawah hitam putih  kek kopi luwak ,Bullying
 palsu badane diedit semua tu  aslinya dimana  lemak ,Bullying
 udah dapat kontrak dari skincare ttp aja buluk mel ,Bullying
 heran sama netizen klo gk suka jangan diliat aja ,Non-bullying
 sukses selalu yah ka  rosameldianti  semangat ,Non-bullying
 jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang ,Non-bullying
 sumpah aslinya muka lo lebar kayak baskom loh mel  rosameldianti  ,Bullying
 berkarya teros meldi walo ga ada yg nuntun kamu  ,Non-bullying
 astaghfirullah  seram sekali ya bun seperti ular jelmaan makhluk halus ya bun ,Bullying
 dan yang paling saya heran cowokpun ikut ngebully  sabar meldi  ,Non-bullying
 astaga  ratu edit muka   sumpah seren kayak film setan  gitu    ,Bullying
 matanya kayak katarak anjir ahahah ,Bullying
 caption aja copas  cantumin credit dong  dasar iblis ,Bullying
 unfoll aja daripada kalian dosa ngebully  terus   ,Non-bullying
 meldi aku perhatikan kamu seperti orang china deh   cantik ,Non-bullying
 editan softlensnya keluar itu mbaknya  kayak ratu titisan ular kamu wkwkwk ,Bullying
 kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya   ,Bullying
 maju trus ya sayang   abaikan orang  yg comment menyakitkan ,Non-bullying
 kasihan ya kamu  rosameldianti  hidup sekali cuman buat bahan hujatan masyarakat  mubadzir banget deh hidup lo  napa gak bunuh diri aja  ,Bullying
 semangat mel  bahasa asing mah yang penting kita berani pasti entarnya bisa ,Non-bullying
 beda sama d foto yaa   disini lebar banget mukanya maaf itu kalau foto editan ya ,Bullying
 meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu  tapi aku bangga akan berusaha mu  yuhuuu ,Non-bullying
 lupa di edit ya tu muka melar ,Bullying
 semangatt  kesalahan dalam belajar bahasa asing itu penting  karena itu pembelajaran utamanya  supaya kesalahannya ga terulang ,Non-bullying
 kereennnn   dari bully an netizen menjadikanmu mau belajar ,Non-bullying
 hiiihhh jiik lihat nih orang  auranya buruk bgt gak ada manis manisnya ,Bullying
 semangat untuk belajar ya  saya uga gak bisa bahasa inggris ,Non-bullying
 yang penting ada niat   dan keberanian ,Non-bullying
 salut mel   semangat belajar  yg ngetawain juga belum tentu bisa dan berani   ,Non-bullying
 gpp mel semangat buat belajar trusssss jangan gampang nyerah pokoknya  rosameldianti  ,Non-bullying
 setidaknya dia ngaku  bukan belagak pintar ,Non-bullying
 masih jauh kalo ngarep bisa ikutan kontes miss earth   makanya dari kecil les inggris biar lidahnya gak keseleo ,Bullying
 cuma di postingan ini ya bund netizen sedikit yang menghujat ,Non-bullying
 happy birthday mel sehat dan sukses yah  aamiin ,Non-bullying
 happy birthday kak meldi yang imut n ngegemesin  tambah sukses selalu ,Non-bullying
 ya ampun ketiak dan lemaknya editan parah wkwk ,Bullying
 ketiaknya habis di amplas mel  alus banget ,Bullying
 udah diedit gitu  ketiak lu tetap hitam ,Bullying
 selamat ulang tahun mel  udah yah jangan banyak tingkah ,Non-bullying
 mukanya kuning banget kaya kunyit ,Bullying
 selamat ulang tahun meldi sukses dan sehat terus ya   ,Non-bullying
 fotonya lainnya jangan yang ini  kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh  aku mah kasihan ,Non-bullying
 hbd meldi  semoga sukses selalu dan panjang umur dan rejekinya di lancarkan   amin ,Non-bullying
 perasaan kemarin lengannya kekar banget kek petinju  udah gitu ketiaknya juga hitam  kok difoto ini lengannya jadi kecil  ketiaknya putih kek dibedakin ,Bullying
 selamat ulang tahun kak  rosameldianti   banyaknya sadar dan jangan pansos lagi yah  amin ,Non-bullying
 hbd cantik semoga kedepannya tambah sukses ,Non-bullying
 hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu ,Non-bullying
 berdiri di kaki sendiri lebih baik ,Non-bullying
 biar di edit  kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin ,Bullying
 sumpah demi apapun   lengan nya gede banget ,Bullying
 selamat ulang tahun panjang umur sampai ketemu dajjal ,Bullying
 ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu  dasar dugong  rosameldianti  ,Bullying
 di atm tinggal     ribu aja banyak gaya lu dugong ,Bullying
 gak ada bagus nya suara dan polanya   ,Bullying
 si meldi jelek aja banyak gaya  beda banget sm tante n sepupunya yang udah jelas  cantik ,Bullying
 tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat ,Non-bullying
 ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan   putihnya kek cat tembok ,Bullying
 aduh dugong masih aja gila filter   ,Bullying
 sekarang bukan muka aja yang didempul  tapi ketiak juga ,Bullying
 kasian kebelet artis tapi gak punya bakat ,Bullying
 yang merasa peliharaannya lepas  tolong diangkut ,Bullying
 miris banget  ultah bukan didoain yang baik  tapi tetap di bully kasian    god bless u mel ,Non-bullying
 mudah mudahan lu jadi gembel  amin ya allah ,Bullying
 ketiaknya hitam dikasih bedak jadi nya abu  monyet ,Bullying
 heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik  gasuka ya gausah diliat  kaya dirinya sempurna aja ,Non-bullying
 gua berharap lu aja si yg sakit bukan laura lol ,Bullying
 harusnya lo aja yang menderitaaa bukan lora anj          ,Bullying
 gaga sempet beneran lora lo tinggalin  lo orang paling jahat ga     lo gak bakal bahagia ga ,Bullying
 lu bener  ga kalo sempet nyakitin lora gue santet      ,Bullying
 si gaga kok kek anjing ,Bullying
 semangat gaga  jangan liat kebelakang fokus aja kedepan  masih muda masih banyak yg lebih baik juga  ,Non-bullying
 gak ada cantiknya  gila yang ada ,Bullying
 meldi makin bersinar yaaa  pertahanin karir jgn di sia siain ,Non-bullying
 tetap semangat   sebaik apapun kamu akan dalah dimata pembenci    ,Non-bullying
 asli gak ada bebet bobo ni anak  kasihan sekali  ,Bullying
 kumat  lama semedinya segini keluarnya ,Bullying
 tangannya hitam  beda ama muka ,Bullying
 kok meldi di foto aku gendut beda ,Bullying
 gatau sih  cantik tapi gak ada aura nya sama sekali   cantik tapi idih gitu lihatnya   kenapa yaa    ,Bullying
 baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu   ,Non-bullying
 gila ni siluman   di story orang lain keliatan banget tumpukan  lemaknya  buriknya apalagi ,Bullying
 dasar bego lu   gua jijik sama lu bro kayak gak punya otak banget ,Bullying
 lo kira lo bagus tuh begitu anjing wkwkw ,Bullying
 di maafin aaa  semoga dia jera untuk kedepannya  ,Non-bullying
 eh bocah mending lo mati aja gak guna juga ada orang kayak lo hahahahaha ,Bullying
 btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya ,Non-bullying
 okay bro kalem aja  tetap semangat dan jangan putus asa ,Non-bullying
 lu mati ajalah   udah biar gak bikin ribet ,Bullying
 sampah masyarakat harus di musnahkan segera ,Bullying
 mati kau najis kontol bangsat mati kau ,Bullying
 youtuber toxic  tutup akunmu sekalian tutup usia ,Bullying
 pada ribet kayak udah pada benar aja lu semua ,Non-bullying
 jangan ada hitam diatas putih  langsung proses ,Non-bullying
 kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian ,Non-bullying
 manusia apa hewan sih kok gak punya hati banget ,Bullying
 manusia anjing  nyari uang gitu amat  lo kerja aja sama gue nyebokin gue ntar gue gaji lo  ,Bullying
 maklum anak kurang pendidikan kayak gitu gak punya akhlak ,Bullying
 anjing memang anak gak tau diri  ibunya sampai nangis  ,Bullying
 oi babi gue bunuh lu kalau sampai kelihatan sumpah ,Bullying
 heee sampah lu udah gua maafin tapi boong goblok ,Bullying
 anjing sini lo baku hantam ayo ,Bullying
 bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang ,Non-bullying
 jangan patah semngat kak sukses terus ,Non-bullying
 semangat ferdian gausah dengerin orang yang hujat kamu  karena semua manusia tidak luput dari kesalahan ,Non-bullying
 sumpah sekarang aku respect banget sama kamu ,Non-bullying
 menurutku pribadi  dia tulus minta maafnya   ,Non-bullying
 dikasih bidadari maunya boneka santet ,Bullying
 ilang respect gue   padahal jane udh setia bgt sama lu  tapi lu nya main cewe pas udh keluar dri penjara   lol ,Non-bullying
 hapus ajh ni poto ngk tau malu bgt lu bang ,Non-bullying
 intinya gasuka ajg selama ada listy   ngrusak suasana ,Bullying
 di foto ini ada   anjing dan   kontol ,Bullying
 kasian banget jane udah nunggu keluar penjara eh taunya     waw sakit siih ,Non-bullying
 puny cewk baik di selingkuhin g ngotak ,Bullying
 inget yg di potong itu masalah nya bukan hubungan nya  tapi kalo udah gini sembeleh aja orang nya    udah terlanjur kecewa ,Bullying
 ini buat konten   masa putus foto tabi sama jessica engga dihapus   ,Non-bullying
 tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih ,Non-bullying
 parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss ,Non-bullying
 ini anjing kok mirip ya sama erick ,Bullying
 muka pas an sok sok an mau sm lonte lo anjing ,Bullying
 lu sama anjingnya  lebih baik anjingnya ,Bullying
 ih ada babi jgn megang tuh anjing harga dirinya lebih tinggi dripada lo ,Bullying
 santuy aja bang ga usah di tanggepin btw gw suka gaya lo ,Non-bullying
 narkoboy kontol  cuma bisa maen cewe sama nyakitin doang lu anjing  mati aja lu bego ,Bullying
 tetep penjara aja ajg nyusahin lo keluar ,Bullying
 cewe cakep  setia kok disia sia in sahabat ,Non-bullying
 loh kok ak liatnya anjing semua yaa ,Bullying
 anjingnya ada dua kok guys  tapi kok lagi satu gue liat ada babi item ,Bullying
 mantan anjing  eh kebalik anjing mantan ,Bullying
 bikin skandal karena kepengen tenar  ,Non-bullying
 wiii anjay kapan lagi liat babi megang   anjing ,Bullying
 ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari ,Bullying
 babi g pantes nyentuh anjingnya bidadari  nanti kotor  ,Bullying
 sesama anjing foto dulu ya kan ,Bullying
 potret seorjing memegang anjing kwkw ,Bullying
 heh udh napa hate nya cape gw baca nya ,Non-bullying
 waduh malah lebih ganteng anjingnya  eh eh bahkan lu ga pantes disebut anjing  anjing kan setia pantesnya sih babi hahahaha ,Bullying
 kalo lomba sama an sm babi  babi nya nmr   ,Bullying
 si anjing ketika berfoto dengan si anjing ,Bullying
 kak jessica yg nungguin setia sm kk loh pas ad masalah kmrn  tapi kk ga ngehargain malah lbh milih yg d sono ,Non-bullying
 erikontolim manusia babi anak lonte ,Bullying
 hargailah hati wanita yang udh tulus nemenin lo dari      ,Non-bullying
 tapi bagus sih erick mutusin jessica ya karna erick kelakuan ny begituu coba liat jessica ,Non-bullying
 anjing sekarang hebat ya  bisa pake kacamata ,Bullying
 sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa ,Non-bullying
 kukira kehadiranmu akan menjadi sesuatu kebanggaan  ternyata tidak ,Non-bullying
 ada   ajg dan yg punya tato bener  ajg ,Bullying
 dasar orang tua gada akhlak ngajarin anaknya yang ga bener ,Bullying
 erik kenapa sih  ada yang bisa jelasin gw ga update soalnya   maap  ,Non-bullying
 eh jangan dekat dekat sama anjingnya ci jessica gua lempar lu ,Bullying
 guys dr pd comment  mending unfoll sm unsubscribe aja yaa ,Non-bullying
 babi lagi main ma anjing    ,Bullying
 dikasi bidadari malah pilih babi ,Bullying
 postingan pertama jg dihujat dong gila netijen ,Non-bullying
 baru kali ini lihat anjing sama babi baikan  ,Bullying
 dikasih bidadari malah milih setan ,Bullying
 padahal gw g mau benci ama lu bro  tpi ada aja tingkah lu yang melenceng   ,Non-bullying
 sikap mu lebih najis daripada ludah anjing  ,Bullying
 njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru  ,Non-bullying
 kesini cmn mo liat komen aja ,Non-bullying
 buset hate comment ampe postingan paling bawah ,Non-bullying
 foto di upload nya    maret yang comment   jam   jam   jam yg lalu ,Non-bullying
 pantes banyak utang buat bayar lonte ,Bullying
     tutup botol muka lu kek kontol wkwk ,Bullying
 astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener ,Non-bullying
 dah lah  gw capek baca komen kalian ,Non-bullying
 keliatan bgt anjingnya ketakutan foto sama dakjal ,Bullying
 astaga ngehujat sampe postingan paling bawah ,Non-bullying
 lebih najis elu daripada anjing  ,Bullying
   ekor anjing dan satu buaya makan jambut ,Bullying
 kalo disuruh melihara anjing eric gw pilih anjing aja meski najis tapi lebih najisan erick kontol ,Bullying
 ngapain si pada ngejudge  mikir dulu lah dia putus juga sebelum kejadian itu tolol ,Non-bullying
 hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu ,Non-bullying
 ternyata sipat anjing bukan hanya ada di anjing doang ya di manusia sipat anjing juga ternyata ada ,Bullying
 potret ketika anjing poto dengan setan ,Bullying
 bantu bedainn woyy mana anjing mana babi ,Bullying
 udaah woii udahh lu gak kasihan apa   aku capek ngelike komenan kalian ,Non-bullying
   anjing   anjing berwujud manusia    anjing asli tak ada perwujudan aowkwkw ,Bullying
 kasian gue sama anjingnya dipegang dajjal ,Bullying
 kasian anjing nya di pegang babi ,Bullying
 lo itu kontol gak guna ajg anak dakjal ,Bullying
 mukak lu lebih buruk daripada anjing lu ,Bullying
 dikasi yang bening malah milih yang dakian ,Bullying
 mending masuk penjara lagi aja dah seumur hidup ,Bullying
 kok lbih lucu anjingnya ya ktimbang orangnya ,Bullying
 akhirnya jesica bisa lepas dari kambing hitam ini ,Bullying
 maafin aja bro semua orang pasti ada kesalahan dia juga pasti ada kesalahan nasehatin aja siapa tau dia berubah ,Non-bullying
 kasian anjingnya dipeluk sma sampahh ,Bullying
 gua kira keluar dari penjara bisa berubah ,Non-bullying
 cintamu hanya sebatas kertas wkwkw enteng bang ,Non-bullying
 padahal sejak dia sama jane aku lebih respect    skrg bener  udah hilang respect    ,Non-bullying
 udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh  ga nyangka idola gua sesampah itu  ,Bullying
 dihujat habis an semua postingan lama ada komen baru wkwk ,Non-bullying
 gua gabisa bedain mana anjing mana manusia  keliatannya sama ,Bullying
 lu mirip anaknya kick andy yg namanya marlo bang ,Non-bullying
 kenapa ada orang baik   karna ada orang jahat ,Non-bullying
 ngga ada niatan ngadain pengajian gitu bang  ,Non-bullying
 suka banget sama rambutnyaa tambah ganteng ,Non-bullying
  abatartila ada ada aja kaya gini di bilang king  king muke nya udh kaya tai musang ,Bullying
 ninggalin berlian demi tai babi dih ,Bullying
 ganteng kaga lu begitu malah keliatan kaya daki kontol ,Bullying
 mukak lo kayak tapir kuda asu sok ganteng banget lo ,Bullying
 banyak yg kecewa karena lu begini rik     ,Non-bullying
 maap ye muke lu udh jelek kaga usah sok selingkuh cakepan anjing gua noh ,Bullying
 apa si hebatnya banci yg badannya penuh koreng kaya lo ,Bullying
 gini dong bersihan kaga kek tahun tahun sebelumnya dekil ,Bullying
 muka lu keriput kek aki aki ,Bullying
 foto jelek dihujat  foto ganteng dibilang sok ganteng ,Non-bullying
 kebanyakan nyabu jadi kurus lu ,Bullying
 narkoboyy ngeluarin lidahh  ajg mau apa  mau tes urin ,Bullying
 fotolu pede anjrit muka lu tu anjrit ,Bullying
 hidup itu jngn keterlaluan boss playboy amat ajg luu ,Bullying
 mukalu kek aktor bokep bgst mending ngobat aja luu ,Bullying
 dah jelek semangattt pulak wkwk ,Bullying
 muka nya kok gitu  seren bikin mual liatnya ,Bullying
 sana anjing ngewe ama lonte bangsat ,Bullying
 muka kek kontol mending di penjara ,Bullying
 muka kek banci dih najis ,Bullying
 ntar mati dalam keadaan konyol ,Bullying
 mau bilang jelek nya ga enak hehe   ,Bullying
 idihhhhh pantesan aja foto nya keluarin lidah kyk gtu  trnyata tukang jilat  ,Bullying
 nih orang kalo lomba mirip babi babinya juara   ,Bullying
 titisan dakjal emg lo nyet ,Bullying
 et muka lu aje gitu dih hahaha  biarin aja sampah ketemu sampah biar busuk bersama ,Bullying
 jijik astagah sok bat cakep njs ,Bullying
 bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii  ajgg,Non-bullying
 udah buriq brengsek pula pantes aja dapet lonte ,Bullying
 muka kampung gaya sok soan kota nyet ,Bullying
 ngapa lidah lo stroke amin deh kalau gtu ,Bullying
 ciah dihujat   indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu ,Bullying
 org kampung otak dusun gaya sosoan hype  ttep aja gabisa nutupin muka babu lu  ,Bullying
 cowo foto liatin lidah nya jam ah jijik gue  apa lagi minus akhlak kek gini ,Bullying
 anjing gue jg ogah liat muke lu ,Bullying
 g bole melet dosaa rik ,Non-bullying
 paan melet melet mau jilat tai tabi  ,Bullying
 setan emg melet  teross jijik asuuu ,Bullying
 ni anak lahir krna kondom bocor   ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia in bgsad ,Bullying
 apaan si melet  sok ganteng ,Bullying
 muka kek slangkangan biawak aje bnyk blagu lu ,Bullying
 sumpah sih jahat banget  bener  kasian sama kak jessica ,Non-bullying
 anjing gk pantes sama bidadari  ,Bullying
 melet mulu setan kaya ular ,Bullying
 njr melet melet gw kirain hewan ,Bullying
 gtu aj dh kek anjg lo kang ,Bullying
 gw kesini pengen liat babang ini   sumpah feeling gw bener   mirip banget ama reynhard sinaga ,Non-bullying
 ih ko melet  si kaya hewan aja wkwkwkwk ,Bullying
 iuu milih iblis drpd bidadarii kwkwkw jyjyq ,Bullying
 melet  udah kaya anjing  eh kan emah anjing ,Bullying
 ga nyadar aja nih sampah haha ,Bullying
 lidah banyak kuman and virus nih ,Bullying
 awalnya ngira baju endorse dari kfc  mirip     ,Non-bullying
 gua mau lo terus berkarya   perbaiki  tinggalkan yg negatif   tidak ada kata terlambat   ttp jadi orang yg hebat dan selalu bahagia  xrickolim ,Non-bullying
 cita cita ingin jadi pakboi   eh tapi malah jadi narkoboy nasib nasib ,Bullying
 napa lu balik dari penjara sih  ,Bullying
 mending lu pada tobat dah ,Non-bullying
 selama dipenjara apalo sikat gigi  kok bau ya  baubau aroma bangsatttt ,Bullying
 gigi lo ada apanya  jigong  atau kondom nya nyangkut  ,Bullying
 ih mukanya kek anjing rumah gwa ,Bullying
 woi anak anjing ngapain lu hidup bgst ,Bullying
 udah jelek gak usah d jelek  in lagi bro ,Bullying
 ganteng kagak berbakat juga kagak kelebihannya dimana cobak  ,Bullying
 benci aja ama orang jelek pake selingkuh segala ,Bullying
 udah tutup mulut nya bau kambing ,Bullying
 jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah ,Bullying
 kayak randy pangalila klo gk pake kacamata ,Non-bullying
 entah knp liat muka bg eric sekarang kaya enak gitu    dari pada yg dulu ,Non-bullying
 apa ganteng nyasih anjing   kucel gini jadiin model ,Bullying
 keknya dia ngeliat masa depan yang hancur deh ,Bullying
 ingett hidup lo dulu ga seenak ini rikkk  hidup lo susah     salam temen smp pas lo burikkk  eh skrg sama aja ,Bullying
 yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah  oprasi dulu sono  biar gantengan dikit   dan kalo jln ke mall gk di kenal orng  ,Bullying
 dia ini siapa sih    artis bukan  jelek mah iya mukanya iyuhhh ,Bullying
 ini bukan era lo lagi  mending lo mati aja babi  kalo baca bales nyet ,Bullying
 saya segenap hati minta maap ,Non-bullying
 dulu bahagia sekarang banyak utang ,Bullying
 harus lebih maju berkelas rik   ga jamannya lg toxic dan ga beraturan   build sistem   you will be big ,Non-bullying
 editan sama konsepnya nice banget lahhh ,Non-bullying
 iri kok sama babi hahah najis ,Bullying
