sentimen,tweet,clean_tweet
1,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo ,giveaway umur tambah bagi rules aja ucap wish screenshoo
1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,ya allah ya tuhan kau lindung bapa saat jauh
1,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat ,selamat jumat yg bikin rindu kumat
-1,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t ,kesi laki and girl goes like mesti attention gf camtuh men are t
1,diremes di enyot ngedusel dusel di nenen kamu wah mantap,diremes enyot ngedusel dusel nenen mantap
0,mana gampaang aku nanya dulu tauu ,gampaang nanya tauu
-1,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe ,idm hallo ami tolobg bantu ya huhu album ku yg ga sampe sampe
-1,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian,takde gf takpe imaginary gf also can lepastu gila sekian
1,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e ,hi rakyat ku akhirnyauga postelca give away album love yourself answerealed versionnya pilihendiri e
0,makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih ,makan tido makan tido ni reput je la kat rumah hadap orang ni haih
-1,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib ,bestfriend but gaduh sikit tegur malam koyak sikit pastu post gambar tetib
0,threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s ,threado as promised nk citer alam ambik teh kurus pil kurus it was mcm tuince everyone was s
0,makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya ,kaget lihat teman kabar nya udah meni hati taaruf ga cium kabar
-1,pacar kamu sibuk ya kok tumben komen wassap story aku ,pacar sibuk ya tumben komen wassap story
-1,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber ,kucin meja mintak makan kau sepak pulak ekor ber
-1,lepaskanlah dia tidak mau kamuadarlah jangan membatu ,lepas kamuadarlah batu
-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,nak asa korang simpan duit tabung ana makan duit tu
-1,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau,tolong kau nak kacau orang yg sayang kau fikir mcm asa kau orang kacau buah hati kau
-1,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk ,biasa tu perempuan kena jaga jaga muka malaikat kadang perangai syaitan jugak gak camni lari laju teruk
1,pilih salah satu yang paling kamu nyaman,pilih salah nyaman
1,aku sendiri jugaaa yuk barengan,jugaaa yuk bareng
-1,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire,benci soal bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu lak kena kire
0,aku juga dong mbaknya link kalo jepang main ,mbak link kalo jepang main
-1,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per ,birthday abang ajak pergi makan tolak kerja lambat nak ot ajak
1,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j ,mini giveaway hubung ultah rezeki pulsa k like aja mutualan bgt doain yaa undi j
1,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego ,mantan brengsek dilupain jadi ingat salah pilih bego bego
1,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal ,aryana tolong bukak mata pilih syafiq biar sofea bahagia adrian pls laaaaaaaa murung kal
0,hyung kamu kanibal kan ' ' ,hyung kanibal
1,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak,buat cita cita bintang langit lupa anak tangga rencana cendekiabijak
-1,kamu ga laku laku unn ,ga laku laku unn
-1,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada ,try lupa benda tu benda tu down ya allah tlg laa hilang kecewa yg
0,jajanin aku kak ,jajanin kak
-1,iyaaaa kasian donghae nya aku kelelep ,iyaaaa kasi donghae nya lelep
0,ini tiga aku satu aja gapunya ' ,aja gapunya
0,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee ,hi adain give away nih give away nya album bts yg love yourself answers yey follow retwee
1,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm ,cantik la confess kat crush peluang kena reject tu nipis sel epidermis bawang je tang ni confess hmm
0,'aku di rumah aja' adalah anagram dari 'besok malam minggu',rumah aja anagram besok malam minggu
0,jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k ,jumat malam kawan mobil sebwah apartemen diurabaya barat b gaes sorry ya a k
-1,aku juga pernah dah kek gitu 2x gaada hasil percumaa,dah kek gitu x gaada hasil percumaa
-1,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana ,ku introvert karna nga uang aja males
1,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku,cnta kmu tuh kyk fto albm tau g dbalk ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk
1,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau ,indonesia damai pimpin beliau
-1,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii ,fakap nak pergi makan ramai nak happy tetibe badmood woiiii nak makan je woiii
-1,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg ,awek bising nothing is wrong once awek dah senyap everything is wrong perhaps dah someone yg
-1,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu,abis ga berani bawa motor pas bawa motor gemeteran gitu
1,aku nk walk in ajelah senang,nk walk in ajelah senang
1,jadilah seperti aku,
1,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat ,sentiasa ingat tunjuk gembira orang kecewa moga sentiasa
0,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a ,nang kampus ngopi ketemu podo kabeh takok e lapo ubah sosyeti a
-1,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp ,gipewei sedih nih seokjin rt fllw rep pict seokjin tag klo doain gpp ga gpp
1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,temen temen yg jatinangor tolong beli ya jual beliau jual kain lap keset dsb
1,hahaa aku juga ga ngerti tadi tp asal jwb aja,hahaa ga ngerti tp jwb aja
1,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men ,kelak orangtua laku anak nak percaya ayah tidur siang men
-1,yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu ,kabul doa ku klosdonecepatnya okey kalo
1,aku terhibur hahahahahahahahahahahaha,hibur hahahahahahahahahahahaha
0,kamu juga kan ,
0,x de adab betul budak ni pinjam buku aku ,x de adab budak ni pinjam buku
1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber ,okay but the bahasa melayu names for our malaysian birds mudah hibur contoh burung rek ber
-1,makin lama rasa apebende laa aku melalut ni i better stop ,apebende laa melalut ni i better stop
1,iya lucu emang dia aku temenan di ig,iya lucu emang temenan ig
-1,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak ,dear makhluk hidup sekitar kalo tau tanyain lgsung aja gausah orang lumayan gak
-1,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot ,member ade cite kat dibreak up dgn gf die time cerita suddenly menang weyh kot
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je orang
0,kenapa popular weh sorry aku blur x paham mksd hg ,popular weh sorry blur x paham mksd hg
1,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki,lhaa kaann ancene arek e pinter wayah e konco yaa ambk arek e sopo ngerti ciprat rejeki
1,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov ,give away time raya ulang namjoon ulang adain give away photocard album lov
0,broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d ,broimak video ribka tjiptaning tulis buku bangga anak pki tuju pki d
1,kak mau jugaa,kak jugaa
0,mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan ,mandi diceramahin nyonya inti tobat abis iniiap komandan
-1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi ,suami nasihat forward gambar ni isteri forward
-1,aku tak faham betul lelaki tak suka perempuan pakai makeup ,faham lelaki suka perempuan pakai makeup
-1,wasyuu ,wasyuu
1,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew ,singgah terakhirebesar harap kepada mengecew
1,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit ,lahir jogja jogja juluk kota hati nyaman pantes aja langsung pake hati kalo udah nyaman dikit
1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar ,guys jumpa ayat guna time korang putus asa sabar terbahagi iaitu sabar
0,ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb ,jual suruh tebuk lubang kecik ja tahan dh nk x hb
1,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt ,fresh grad yg tgh cari kerja try amal zikir doa ni alhamdulillah lepas amal ni pon dpt
-1,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to ,at least maaf okay hilang radar tinggal pesan kau senang nak stick to
-1,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka ,nak tidur still fikirkan orang sayang okay tu tidur lena perlu ka
0,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa ,kengkawan suka cari nak translate bahasa jawa hahah ni anak jawa
1,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun ,akhlak engga harga melindun
0,karena aku kepo 11 13 20,kepo
-1,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin ,nak mintak bantu korangemua cari haji loqman bin haji azli ni mugkin korang kenal mugkin
-1,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru ,her miss taman safari yo pasuruan males nganterno andrew kesana kalo taman safari undang ru
0,berarti aku bener dong jawab cowok dapet 2jt nggak nih ,bener cowok dapet jt nggak nih
0,tls followan ama aku yukk rep rt kita temenan,tls followan ama yukk rep rt temenan
-1,14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat,modal nomad ribu kotak popcorn modus mesum lancar tama aneh izin maksiat
-1,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan ,terkadang allah kasih yg sakit
-1,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i ,back then in school cikgu eh cinta kat uni handsome handsome jumpa now i
-1,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis ,kenal nya tertawa menang
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,sungguh nak jaga je henti pura jaga paksa kau kau perl
-1,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk,iya hubungin aja ya butuh dosa wkwk
1,buat dong aku kan juga istrinya daniel ,istri daniel
-1,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai ,mahal service bagus takpe streamyx kat rumah barai
1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit ,hihihihi look at the face lepas taknak kau bau ikan mandi namau nameow catsoftwit
-1,sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss,jalan dahlia peras tinggal labcoat kat dinamik sobss
0,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki ,antra bebanyak pondan kt malaysia ni viviana ni y cakap content ive never thought y komuniti ki
0,lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk ,lepas tengok movie onetwojaga pulak time intern kerja contractor quantityurvey juruuk
0,ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana ,tahan sayang paksa kapel
1,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa ,guys today nak rekomen kat korang movie yg best some of you maybe blm tengok movie tu pa
-1,sudah waktunya aku mulai menjalani hidupku sendiri mello death note ,jalan hidup mello death note
0,so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei ,so pergi klinik muntah tengok carta organisasi buat nak gelak ni wei
-1,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri ,nampak la org dp gambar kawen husband je dp gambar ambik
0,ya allah pengen ngakak goler2 aku sama trit iniiii ,ya allah ken ngakak goler trit iniiii
1,tolong la harini je dah banyak sangat ketawa krem perut aku yall,tolong la harini je dah ketawa krem perut yall
-1,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me,i dont know nak sekarangebab sorang sakit so orang dont judge me
-1,mu gemes banget adminnya aku ga jadi marah ,mu gemes banget adminnya ga marah
0,pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa ,pastu perangai still babi nampak taknak kahwin
0,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s ,siang happy friday sholat jum at nya lupa ya habis giat latih bareng team j s
0,kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka ,kawan tips dietebab cuti just makan nie utk diet and sem tu dah kurus giler ka
1,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,gt tuhan yesus ganti frustasi hati damai sejahtera mbml
1,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo ,doa lelaki kerja cari duit pasang kesihatan murah rezekiemo
-1,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt ,bisa aja naruto emang ken nyium tp muka yg disalahin gt lt
-1,keluar airmata jantan aku baca ,airmata jantan baca
-1,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p ,first impression niumpah kau sombong gila orang cakap kau sombong p
0,aku tadi nge rt wah wah wah,nge rt
-1,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape ,pas nonton berita lamar pas wisuda tuh nak lamar pon siape
0,sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu ,takde ciri dah sayang someone tu gelap suka putih suka hensem pu
1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,temen temen yg jatinangor tolong beli ya jual beliau jual kain lap keset dsb
0,antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka ,ayat tipu jap otw study takda kredit pakai duit ka
0,izinkan aku mengupload ini ,izin mengupload
-1,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin ,apa elfungmin
-1,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl ,instagram facebok twitter cantik takde la cantik bagitahu akuekarangiapa je nak upl
1,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah ,syukur lupa kurang tulisanirin jumatberkah
1,segitu kangennya ya mba sama aku ,segitu kangen ya mba
0,kamu jangan lupa sholat dzuhurnya,lupa sholat dzuhurnya
0,life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu ,life skang simplekan je suka layan je penat nk jaga hati org je pikir dlu
-1,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya,bayang posisi lg bwah orng rendah karna materi
1,hidup ini adalah pilihan yang harus kamu pilih,hidup pilih pilih
0,tiap salam buat suami aku exo di korea paaak ,salam suami exo korea paaak
-1,laa haha sorry2 akualah paham ,laa haha sorry akua paham
-1,receeehh ah kamu,receeehh ah
0,masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap ,pinjam lighter bang pinjam lighter jap ok light kena diri jap dup pam kene hembus dlu nak
-1,sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau ,kurang nya rm budak miskin kau nk suruh mcm sedekah lepastu kau
0,tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l ,tidur buka kipas or aircond bcs takut the kitten sejuk bangun approximately every hours just nang l
1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah ,if si keli tu femes apantah kahkahkah
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je orang
-1,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be ,beli barang shupe harga puluh ribu tp ongkirnya ribu kesel banget deh wheres the justice tho kayak be
-1,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p,butuh selang visual biar mampus tunggu kali rasain p
-1,kok gitu sama aku,gitu
-1,kukira aku introvert ternyata juga pedopil ,kira introvert pedopil
0,7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b ,p m pagi malam ya pagiudah coba trik pancing pancing kayak gitu b
1,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku ,sayang sakit sentiasa sayang
-1,omg kau jgn buat aku g kfc ppagi cmni ,omg kau jgn g kfc ppagi cmni
0,mamak ni nak try aku ke apa ,mamak ni nak try
-1,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan ,yg serius nya raguuu gmn donggg yaudah kasih harap dia kasiaan
0,tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t ,tomorrow i will date with yesterday s you movie download sedih k start movie ending duk fikir t
1,i liked a video aku tanya pak jokowi pakai bahasa jawa ,i liked a video jokowi pakai bahasa jawa
-1,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada ,atas gausah sombong deh tindas karyawan langsung milyuner larang orang ga masuk
0,aku ngatau nih bang definisi berhasil apa nga ,ngatau nih bang definisi hasil nga
0,sama aku kapan ,
0,aku main ww deg degan mulu wkwkwk id kamu apaa ,main ww deg degan mulu wkwkwk id apaa
-1,kayak woojin kesringan barengih dasar anak kembar ,kayak woojin kesringan barengih dasar anak kembar
1,okaay nggapapaa aku minta doyoung ajaa makasih yaa ,okaay nggapapaa doyoung ajaa makasih yaa
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,sungguh nak jaga je henti pura jaga paksa kau kau perl
0,aku jual ,jual
-1,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat ,cita cita khianat
0,waw beliin buat aku dong,waw beliin
1,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat ,terima nikah mas kahwin bacaanurah al fatihah dear future wife kahwin sedekah al fat
1,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang,le makan samyang yuk udh ga makan samyang udh ga sayang
-1,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang,tu malas nk kutip malu kot mintak duit kt orang
-1,rama gak usah ganggu aku sama karya ya tolong ,rama gak ganggu karya ya tolong
-1,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia ,begadang minum an soda kau pilih pilih cinta
1,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh,pegi kedai bawak adik teman pastu uncle tu ni anak you muka hahaha muka orang dah kawin doh
0,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara ,amin ustazah pening kepala me takpelah awak tulis je awak laratampai suruh hantar buku tara
0,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab ,time gaduh je english automatic power time exam kena gaduh before
-1,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk ,td mikirnya gtu pngn ngegas jg tp apa orng pnya pengaruh jd ngegasnya sia kwkwkwk
1,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca ,suka mie sedap tumis ulang pake bawang merah bawang putih telor daun bawang iris ca
0,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan ,ramai sifu property approach utk join kelas investment etcemua cerita beli rumah murah sewa
